numero clienti 32
nodo deposito 0
numero UAV 1
elenco nodi con posizione, peso pacco
0 10 10
1 1.0 2.0 3.8
2 3.0 2.8 1
3 2.6 2.0 3
4 3.5 1.5 1
5 1.5 1.0 1.7
6 2.0 1.0 2.5
7 0 0 2
8 7 8 3
9 10 5 1
10 0 10 2
11 2.5 2.5 3
12 1.3 7 4 4
13 2 7.0 4
14 5 4.5 4
15 3 3.5 4
16 4 1.5 4
17 9 4.0 3
18 4 2.1 2
19 6 1.0 5
20 6 2.8 4
21 7 2.3 1
22 8 1.5 4
23 4 4 3
24 6 6.9 2
25 6 5.0 1
26 8 7.0 2
27 2 1.0 1
28 3 1.0 2
29 1.1 -1.1 1
30 1.2 1.2 2
31 1.3 3 3
32 4 1.4 4
33 10 10



