Numero clienti 40
Nodo deposito 0
Numero UAV 3
Elenco nodi con posizione e peso pacco
0 10 10
1 10 20 3.8
2 30 28 10.5
3 26 20 3.2
4 35 15 8.1
5 15 10 1.7
6 20 10 2.5
7 0 0 2
8 7 8 3
9 10 5 1
10 0 10 2
11 2.5 2.5 3
12 13.2 5.4 4
13 12 6 10
14 18 19 2
15 6 5 3
16 4 3 1
17 21.4 2.5 2.3
18 16.1 14.2 1
19 14 13 3
20 10 19 4
21 21 29 6
22 28 30 4
23 2 6 4
24 1 5 2
25 11.1 11.9 1
26 6.6 -6.6 4
27 -2.2 2.8 4.4
28 1.2 5.9 10
29 1.4 2.9 1.2
30 3.4 5.6 2
31 3.9 -4.2 4.6
32 -2.5 -6.4 4.9
33 3.6 -2.6 2.1
34 -1.7 4.2 4.6
35 -20.4 20.4 10.2
36 -2.6 4.9 7.5
37 5.9 -5.9 5.9
38 3.6 -5.2 1.2
39 2.5 6.8 4.6
40 2.4 6.8 3.6
41 10 10





